case,r,t,u,r0,u0,D,sc,p
2,2.950000e-01,1.200000e+01,3.007694e-03,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,7.500000e-02,9.000000e+00,1.788126e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,3.250000e-01,3.000000e+01,9.984564e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,2.250000e-01,3.000000e+01,2.718521e-02,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,1.050000e-01,1.500000e+01,9.843882e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,1.000000e-01,2.100000e+01,9.997909e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,3.150000e-01,9.000000e+00,3.150000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,3.950000e-01,1.500000e+01,4.893618e-08,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,0.000000e+00,1.500000e+01,1.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,4.950000e-01,1.200000e+01,5.653336e-11,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,3.850000e-01,1.200000e+01,3.850000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,3.800000e-01,9.000000e+00,6.114754e-09,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,4.550000e-01,1.200000e+01,6.847584e-09,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,4.050000e-01,3.000000e+00,-4.129465e-67,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,2.950000e-01,3.000000e+01,9.995806e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,3.850000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,1.250000e-01,1.500000e+01,8.266850e-02,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,4.150000e-01,2.700000e+01,4.150000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,4.250000e-01,6.000000e+00,2.078213e-19,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,1.000000e-01,1.200000e+01,1.000000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,4.850000e-01,1.800000e+01,9.542210e-05,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,2.150000e-01,2.700000e+01,2.150000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,3.150000e-01,3.000000e+01,9.988226e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,2.450000e-01,2.700000e+01,2.450000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,2.150000e-01,9.000000e+00,1.875012e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,2.100000e-01,9.000000e+00,2.523304e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,2.100000e-01,9.000000e+00,1.250346e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,3.450000e-01,2.100000e+01,5.325464e-05,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,4.200000e-01,3.000000e+01,3.819481e-05,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,3.200000e-01,2.400000e+01,9.615253e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,8.500000e-02,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,7.500000e-02,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,3.600000e-01,2.400000e+01,8.220735e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,2.450000e-01,1.800000e+01,7.858877e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
